Extroversion,Number of texters,Hours of sleep,Handedness,Pant leg order
7,7,8,Right-handed,Right leg in first
3,4,7,Right-handed,I don't know
9,5,9,Right-handed,Left leg in first
7,8,7,Right-handed,Left leg in first
8,15,6,Right-handed,I don't know
6,3,6.5,Right-handed,Right leg in first
8,10,5,Right-handed,Left leg in first
5,1,6,Right-handed,Left leg in first
3,2,8,Right-handed,I don't know
5,3,7,Right-handed,Right leg in first
3,10,6,Right-handed,Right leg in first
8,38,6,Right-handed,Right leg in first
6,2,7,Right-handed,Left leg in first
5,20,7,Right-handed,Right leg in first
3,5,7,Right-handed,Right leg in first
6,3,8,Right-handed,Left leg in first
8,30,8,Right-handed,Right leg in first
5,3,7,Right-handed,Right leg in first
9,10,7,Right-handed,I don't know
9,12,6,Right-handed,Left leg in first
4,10,6,Right-handed,Right leg in first
4,5,6,Right-handed,Right leg in first
6,3,8,Right-handed,I don't know
4,4,7,Right-handed,Left leg in first
7,20,5,Right-handed,Left leg in first
7,5,8,Right-handed,Right leg in first
6,15,6,Right-handed,Right leg in first
4,7,7,Right-handed,Right leg in first
5,2,7,Right-handed,Left leg in first
4,4,7,Right-handed,Right leg in first
8,10,9,Right-handed,Left leg in first
4,6,7,Right-handed,I don't know
7,14,7,Right-handed,I don't know
6,10,7,Right-handed,Right leg in first
4,10,7,Right-handed,Right leg in first
8,8,4,Right-handed,Left leg in first
7,10,6,Right-handed,Right leg in first
8,12,8,Right-handed,Right leg in first
2,2,7,Right-handed,Right leg in first
2,3,7,Right-handed,Right leg in first
6,5,7,Right-handed,Right leg in first
8,2,7,Right-handed,Right leg in first
3,3,7,Right-handed,Right leg in first
6,5,7,Right-handed,Right leg in first
3,4,6,Right-handed,I don't know
8,8,9,Right-handed,Right leg in first
5,4,6,Right-handed,I don't know
4,7,6,Right-handed,Left leg in first
4,7,7,Right-handed,Left leg in first
9,10,8,Right-handed,Right leg in first
6,30,8,Right-handed,Right leg in first
9,7,4,Right-handed,Right leg in first
2,10,7,Right-handed,I don't know
8,10,7,Left-handed,I don't know
5,6,7,Left-handed,Right leg in first
7,10,7,Right-handed,Left leg in first
8,10,7,Right-handed,I don't know
4,2,7,Right-handed,Right leg in first
7,12,7,Right-handed,Left leg in first
6,3,7,Right-handed,Right leg in first
8,6,6.5,Right-handed,Right leg in first
7,5,7,Left-handed,Right leg in first
7,6,7,Right-handed,Right leg in first
8,8,8,Right-handed,Right leg in first
7,5,8,Right-handed,Right leg in first
3,5,7,Right-handed,Left leg in first
6,12,7,Right-handed,Right leg in first
7,11,6,Left-handed,Right leg in first
9,5,7,Right-handed,Right leg in first
8,9,6.5,Right-handed,Left leg in first
8,7,7,Left-handed,Left leg in first
7,10,6,Right-handed,Right leg in first
8,7,6,Right-handed,Right leg in first
5,5,6,Right-handed,Right leg in first
8,4,9,Right-handed,Left leg in first
5,3,7,Right-handed,Right leg in first
7,4,6,Left-handed,Right leg in first
6,8,7,Ambidextrous,I don't know
7,5,8,Right-handed,Left leg in first
2,5,7,Right-handed,Right leg in first
4,3,7,Right-handed,Right leg in first
8,5,6.5,Right-handed,Left leg in first
8,8,8,Right-handed,Left leg in first
6,8,6.5,Right-handed,Left leg in first
8,4,8,Right-handed,Left leg in first
7,3,8,Right-handed,I don't know
3,3,7,Right-handed,Right leg in first
3,2,8,Right-handed,Right leg in first
8,8,6,Right-handed,Right leg in first
4,3,7,Right-handed,Right leg in first
6,10,7,Right-handed,Left leg in first
8,6,8,Right-handed,Left leg in first
8,0,0,Left-handed,I don't know
7,3,7,Right-handed,Right leg in first
7,12,7,Right-handed,Left leg in first
5,5,7,Right-handed,Right leg in first
3,4,6,Left-handed,Right leg in first
5,3,7.6,Right-handed,I don't know
6,5,6,Right-handed,Right leg in first
4,6,6,Right-handed,Right leg in first
4,5,8,Right-handed,Right leg in first
9,14,6,Right-handed,Right leg in first
6,25,8,Right-handed,Right leg in first
4,3,8,Right-handed,Right leg in first
4,5,8,Right-handed,Right leg in first
7,3,7,Right-handed,Right leg in first
5,10,8,Right-handed,Right leg in first
10,7,8,Left-handed,Left leg in first
4,8,7,Right-handed,Right leg in first
9,4,9,Right-handed,Right leg in first
8,6,7,Right-handed,Right leg in first
9,15,7,Right-handed,Left leg in first
5,3,7,Left-handed,Left leg in first
7,5,6,Right-handed,Right leg in first
5,5,5,Left-handed,Left leg in first
9,30,6,Right-handed,Right leg in first
8,15,7,Right-handed,I don't know
2,2,8,Right-handed,Right leg in first
1,10,7,Right-handed,I don't know
8,20,8,Right-handed,Left leg in first
5,10,7,Right-handed,Right leg in first
6,15,6,Right-handed,Right leg in first
3,5,8,Left-handed,Right leg in first
4,10,7,Right-handed,Left leg in first
10,30,10,Right-handed,Right leg in first
5,5,8,Right-handed,Left leg in first
5,5,7,Left-handed,Right leg in first
4,4,8,Right-handed,Left leg in first
8,15,6,Right-handed,Left leg in first
5,3,5,Left-handed,Left leg in first
5,4,6,Right-handed,Right leg in first
4,10,8,Left-handed,I don't know
8,20,7.5,Right-handed,Right leg in first
7,20,6.5,Right-handed,Right leg in first
4,5,8,Right-handed,Right leg in first
6,5,7.5,Right-handed,Right leg in first
6,7,6,Left-handed,Left leg in first
5,30,8,Right-handed,Left leg in first
3,4,7,Right-handed,Left leg in first
7,10,6,Right-handed,Right leg in first
4,20,6,Right-handed,Left leg in first
7,10,7,Right-handed,Left leg in first
8,10,5,Right-handed,Right leg in first
8,17,8,Right-handed,Right leg in first
8,10,7,Right-handed,Left leg in first
5,5,8,Right-handed,Left leg in first
7,12,7,Right-handed,Left leg in first
5,4,7,Right-handed,I don't know
5,2,7,Right-handed,Left leg in first
10,10,7,Right-handed,Right leg in first
2,4,7.5,Right-handed,Right leg in first
7,10,8,Right-handed,Left leg in first
5,15,7,Right-handed,Right leg in first
4,3,8,Right-handed,I don't know
8,7,6,Right-handed,Right leg in first
4,5,8,Left-handed,Right leg in first
4,1,7,Right-handed,Right leg in first
10,15,7,Right-handed,Left leg in first
1,4,6.5,Right-handed,Right leg in first
8,6,6,Right-handed,Right leg in first
4,4,7,Left-handed,Left leg in first
3,5,8,Right-handed,Right leg in first
5,5,7,Right-handed,Right leg in first
4,5,7,Right-handed,Right leg in first
5,5,6,Right-handed,Left leg in first
7,30,6,Right-handed,Right leg in first
4,5,7,Right-handed,Left leg in first
7,10,7,Right-handed,Right leg in first
4,4,7,Right-handed,Right leg in first
8,10,5,Left-handed,Right leg in first
5,5,7,Right-handed,Right leg in first
3,5,6,Left-handed,Right leg in first
7,5,7,Right-handed,I don't know
8,5,9,Right-handed,Right leg in first
2,3,7,Right-handed,Right leg in first
6,10,7,Right-handed,Right leg in first
5,15,9,Right-handed,Right leg in first
6,5,6,Right-handed,Left leg in first
6,4,8,Right-handed,I don't know
9,10,6,Right-handed,Left leg in first
6,10,6,Right-handed,Left leg in first
4,4,7,Left-handed,Left leg in first
8,15,7,Left-handed,Right leg in first
8,10,8,Right-handed,Left leg in first
4,3,6,Right-handed,Left leg in first
8,12,7,Right-handed,Left leg in first
7,10,7,Right-handed,I don't know
4,5,7,Right-handed,Right leg in first
5,8,7.5,Left-handed,Right leg in first
9,20,5,Right-handed,Right leg in first
8,6,7,Right-handed,Right leg in first
5,2,8,Right-handed,I don't know
7,6,6,Right-handed,Right leg in first
2,3,7,Right-handed,I don't know
7,10,7,Right-handed,Right leg in first
8,10,7,Right-handed,Left leg in first
8,3,8,Left-handed,Right leg in first
4,10,9,Right-handed,Left leg in first
5,8,8,Left-handed,Left leg in first
2,5,8,Right-handed,Right leg in first
6,10,8,Ambidextrous,Left leg in first
8,10,7,Right-handed,Left leg in first
7,3,6,Right-handed,I don't know
5,20,7,Right-handed,Left leg in first
6,5,7,Right-handed,I don't know
4,2,8,Right-handed,Left leg in first
6,3,6,Right-handed,Right leg in first
6,3,7,Right-handed,Right leg in first
8,4,5,Right-handed,Right leg in first
3,5,7,Right-handed,Right leg in first
8,10,7,Right-handed,I don't know
2,3,8,Right-handed,I don't know
5,15,6,Right-handed,I don't know
4,3,7,Right-handed,Right leg in first
9,5,6,Right-handed,Left leg in first
6,12,7,Right-handed,Left leg in first
2,5,7,Right-handed,Left leg in first
8,4,8,Right-handed,Right leg in first
4,10,7,Right-handed,Left leg in first
3,5,6,Right-handed,Right leg in first
7,5,8,Right-handed,Right leg in first
7,10,7,Right-handed,Left leg in first
3,7,7,Right-handed,Right leg in first
7,10,7,Right-handed,I don't know
3,5,7,Right-handed,Right leg in first
3,5,8,Right-handed,I don't know
4,4,7,Right-handed,Right leg in first
8,7,7,Right-handed,Right leg in first
5,5,8,Right-handed,Left leg in first
8,9,4,Right-handed,Right leg in first
4,10,5,Left-handed,Right leg in first
8,8,7,Right-handed,Right leg in first
7,5,7,Right-handed,Right leg in first
7,3,7,Right-handed,Left leg in first
3,5,8,Right-handed,Right leg in first
4,5,8,Right-handed,Right leg in first
5,4,9,Right-handed,Right leg in first
9,5,8,Left-handed,Right leg in first
5,2,6,Right-handed,Left leg in first
4,5,7,Right-handed,Right leg in first
5,5,7,Right-handed,Right leg in first
4,3,7,Right-handed,Right leg in first
6,10,7,Right-handed,Right leg in first
7,5,7,Right-handed,Left leg in first
6,15,5,Right-handed,Right leg in first
8,10,8,Right-handed,Right leg in first
7,10,7,Right-handed,Right leg in first
7,10,4,Right-handed,Left leg in first
7,12,6,Right-handed,I don't know
4,5,7,Left-handed,Left leg in first
3,5,6,Right-handed,Left leg in first
4,2,7,Right-handed,Right leg in first
9,10,7,Right-handed,Right leg in first
7,10,7,Right-handed,I don't know
6,5,7.5,Right-handed,I don't know
6,8,7,Right-handed,Right leg in first
6,5,8,Right-handed,Left leg in first
4,20,7,Right-handed,Right leg in first
7,3,6,Right-handed,Right leg in first
5,5,8,Right-handed,Left leg in first
4,10,7,Right-handed,Left leg in first
4,3,7,Right-handed,Right leg in first
9,5,6.7,Right-handed,Right leg in first
6,5,7,Right-handed,Right leg in first
5,10,6,Right-handed,Right leg in first
7,9,8,Right-handed,I don't know
1,20,8,Right-handed,I don't know
8,13,8,Right-handed,Right leg in first
8,5,8,Right-handed,I don't know
6,7,7,Right-handed,Left leg in first
4,4,7,Right-handed,Right leg in first
8,20,5,Right-handed,Right leg in first
8,4,8,Right-handed,Right leg in first
9,10,7,Left-handed,Right leg in first
6,25,7,Left-handed,Right leg in first
4,2,6,Right-handed,Right leg in first
7,6,9,Right-handed,Left leg in first
3,10,8,Right-handed,Right leg in first
5,5,7,Right-handed,Right leg in first
2,5,7,Right-handed,Right leg in first
8,30,7,Right-handed,Right leg in first
8,6,6,Left-handed,Right leg in first
3,6,8,Right-handed,Right leg in first
7,10,6,Left-handed,Right leg in first
3,15,7,Right-handed,Left leg in first
2,3,8,Left-handed,Right leg in first
7,3,7,Right-handed,Right leg in first
4,5,6,Right-handed,I don't know
4,8,8,Right-handed,Right leg in first
7,6,7,Left-handed,I don't know
3,10,7.5,Right-handed,Left leg in first
7,8,7,Right-handed,Right leg in first
10,5,7,Right-handed,Right leg in first
7,10,6,Right-handed,Left leg in first
6,3,7,Right-handed,Left leg in first
9,10,7,Right-handed,Right leg in first
7,7,8,Right-handed,Left leg in first
4,15,10,Right-handed,Left leg in first
3,7,6,Right-handed,I don't know
7,8,6.5,Right-handed,Left leg in first
3,2,7,Right-handed,I don't know
6,7,7,Right-handed,Left leg in first
9,10,6,Right-handed,Right leg in first
1,4,7,Right-handed,I don't know
8,6,7,Right-handed,Left leg in first
7,4,7,Right-handed,I don't know
6,4,7,Right-handed,Right leg in first
7,4,7,Right-handed,Right leg in first
9,8,6,Right-handed,Left leg in first
3,6,8,Right-handed,I don't know
7,12,7,Right-handed,I don't know
4,5,7,Left-handed,Left leg in first
5,7,8,Right-handed,Left leg in first
6,10,8,Right-handed,I don't know
4,8,7,Right-handed,Left leg in first
7,5,6,Left-handed,Right leg in first
6,4,7,Right-handed,Right leg in first
6,3,6,Right-handed,Right leg in first
7,6,7,Right-handed,Right leg in first
6,10,8,Right-handed,Left leg in first
8,6,7,Right-handed,I don't know
6,6,7,Right-handed,I don't know
6,4,10,Right-handed,Right leg in first
10,6,5,Right-handed,I don't know
3,4,7,Right-handed,I don't know
6,10,7,Right-handed,Left leg in first
4,4,6,Right-handed,Right leg in first
6,5,6,Right-handed,Left leg in first
3,5,6,Right-handed,Right leg in first
3,4,7,Right-handed,Right leg in first
7,4,7,Right-handed,Left leg in first
7,7,9,Right-handed,I don't know
6,5,7,Right-handed,I don't know
8,20,7,Right-handed,Right leg in first
6,2,5,Right-handed,Right leg in first
4,2,6,Right-handed,Right leg in first
7,4,3,Right-handed,I don't know
5,3,7.5,Right-handed,Left leg in first
4,3,6,Left-handed,I don't know
8,1,6,Ambidextrous,Right leg in first
7,30,7,Right-handed,Right leg in first
4,7,7,Left-handed,Right leg in first
5,5,8,Right-handed,Right leg in first
3,4,7,Right-handed,Left leg in first
6,7,7,Right-handed,I don't know
7,8,5,Right-handed,Right leg in first
2,10,6,Left-handed,Left leg in first
3,2,7,Right-handed,Left leg in first
10,30,8,Left-handed,Left leg in first
7,10,8,Right-handed,Right leg in first
5,3,8,Right-handed,Right leg in first
6,6,8,Right-handed,Right leg in first
4,5,8,Right-handed,Right leg in first
4,3,8,Right-handed,I don't know
4,3,6,Right-handed,I don't know
6,50,7,Right-handed,Right leg in first
5,3,7,Right-handed,Right leg in first
7,10,7,Right-handed,I don't know
9,10,6,Right-handed,Right leg in first
7,7,7,Right-handed,Right leg in first
6,5,7.5,Right-handed,Left leg in first
4,8,7,Left-handed,Right leg in first
4,4,6,Right-handed,I don't know
5,4,5,Right-handed,I don't know
6,7,8,Right-handed,Right leg in first
5,5,7,Right-handed,Left leg in first
4,10,8,Right-handed,Right leg in first
2,3,6,Right-handed,Right leg in first
4,10,7,Right-handed,Left leg in first
4,5,7,Right-handed,Left leg in first
3,5,7.5,Right-handed,Right leg in first
7,8,6,Right-handed,Left leg in first
8,8,7,Right-handed,Left leg in first
6,8,8,Right-handed,Left leg in first
4,8,8,Left-handed,Right leg in first
10,4,8,Right-handed,Left leg in first
7,10,7,Right-handed,Left leg in first
8,5,7,Right-handed,I don't know
8,15,7,Right-handed,Right leg in first
6,4,7,Right-handed,Left leg in first
4,10,7,Right-handed,Right leg in first
4,3,8,Left-handed,I don't know
2,8,8,Right-handed,Left leg in first
6,7,7,Right-handed,Right leg in first
6,2,6,Right-handed,Left leg in first
3,7,7,Right-handed,Right leg in first
3,8,7.5,Right-handed,Right leg in first
1,4,7,Right-handed,I don't know
1,1,7,Right-handed,Left leg in first
6,5,7,Right-handed,I don't know
9,10,8,Right-handed,I don't know
6,2,8,Right-handed,Left leg in first
3,5,7,Right-handed,Left leg in first
7,62,6,Right-handed,Left leg in first
7,3,7.5,Right-handed,Left leg in first
6,5,7,Right-handed,I don't know
5,5,7,Right-handed,Left leg in first
7,15,7,Right-handed,Left leg in first
5,5,7,Right-handed,Left leg in first
6,10,6,Right-handed,Left leg in first
3,7,8,Right-handed,Right leg in first
7,3,6,Right-handed,I don't know
2,4,5,Right-handed,Left leg in first
3,10,5,Right-handed,Left leg in first
6,10,7,Right-handed,Right leg in first
8,8,8,Right-handed,Right leg in first
3,5,7,Ambidextrous,Right leg in first
7,5,8,Right-handed,Left leg in first
9,9,6,Right-handed,Right leg in first
6,2,3,Ambidextrous,Right leg in first
5,6,7,Right-handed,Right leg in first
2,7,7,Right-handed,Right leg in first
7,12,7,Right-handed,Left leg in first
3,4,7,Right-handed,Right leg in first
10,4,6,Left-handed,Right leg in first
6,5,8,Right-handed,Right leg in first
7,3,8,Left-handed,Left leg in first
7,5,7,Right-handed,Left leg in first
7,15,7,Right-handed,Left leg in first
9,100,7,Right-handed,Right leg in first
7,5,8,Right-handed,Right leg in first
5,6,6,Right-handed,Left leg in first
9,10,7,Left-handed,Left leg in first
7,5,8,Right-handed,Right leg in first
6,10,7,Right-handed,Left leg in first
7,15,6,Right-handed,Right leg in first
3,3,6,Right-handed,Right leg in first
7,4,6,Right-handed,Right leg in first
8,10,8,Right-handed,Left leg in first
5,35,6,Right-handed,Right leg in first
8,6,7,Right-handed,Left leg in first
8,9,6,Right-handed,Left leg in first
3,10,7,Right-handed,Right leg in first
3,10,5,Right-handed,I don't know
8,6,7,Left-handed,Left leg in first
8,3,7,Right-handed,Right leg in first
7,15,7.5,Right-handed,Right leg in first
8,1,7,Right-handed,I don't know
5,4,6,Right-handed,Right leg in first
4,4,7.5,Right-handed,Right leg in first
8,5,6,Right-handed,Left leg in first
3,9,8,Right-handed,Right leg in first
10,20,7,Ambidextrous,I don't know
6,4,7,Right-handed,Right leg in first
7,9,7,Right-handed,Left leg in first
6,3,6,Right-handed,I don't know
5,5,6.5,Right-handed,Left leg in first
5,4,8,Right-handed,Right leg in first
6,6,8,Right-handed,Right leg in first
2,3,6,Left-handed,Right leg in first
6,16,6,Right-handed,Right leg in first
6,6,7,Left-handed,Right leg in first
5,4,8,Right-handed,Left leg in first
5,16,6,Right-handed,Right leg in first
3,3,8,Right-handed,I don't know
3,5,8,Right-handed,Left leg in first
5,9,8,Right-handed,Left leg in first
5,6,7,Right-handed,I don't know
3,6,6,Right-handed,Left leg in first
4,10,8,Right-handed,Right leg in first
5,3,7,Right-handed,I don't know
4,6,7.5,Right-handed,Right leg in first
5,5,6,Right-handed,Right leg in first
3,3,5,Right-handed,Right leg in first
7,6,8,Right-handed,Left leg in first
4,10,6,Right-handed,Left leg in first
5,7,6,Right-handed,I don't know
7,50,7,Left-handed,Right leg in first
3,7,7,Right-handed,Right leg in first
7,23,8.5,Right-handed,I don't know
7,12,6,Right-handed,Right leg in first
3,4,7,Right-handed,Left leg in first
8,2,7,Right-handed,Right leg in first
5,4,8,Right-handed,Left leg in first
3,1,7,Right-handed,I don't know
5,5,7,Right-handed,Right leg in first
3,2,7,Right-handed,Right leg in first
7,12,6,Right-handed,Left leg in first
8,8,8,Right-handed,Right leg in first
4,10,9,Right-handed,Left leg in first
3,10,6,Right-handed,Right leg in first
5,5,8,Right-handed,Right leg in first
2,10,7,Right-handed,Left leg in first
3,2,6.5,Right-handed,Left leg in first
8,7,6,Right-handed,Left leg in first
8,10,6,Right-handed,Left leg in first
5,2,7,Right-handed,Right leg in first
3,13,7,Left-handed,Right leg in first
4,4,6,Right-handed,Left leg in first
7,4,8,Right-handed,Right leg in first
4,5,6,Right-handed,Left leg in first
8,6,7,Right-handed,Right leg in first
6,7,7,Right-handed,Left leg in first
9,15,5,Right-handed,Left leg in first
7,12,6,Right-handed,Right leg in first
8,6,6,Left-handed,Right leg in first
4,7,8,Right-handed,Right leg in first
5,4,8,Right-handed,Right leg in first
3,4,7,Right-handed,I don't know
6,20,6,Right-handed,Right leg in first
6,2,6.5,Right-handed,Right leg in first
4,7,8.5,Right-handed,Left leg in first
7,2,7.5,Right-handed,I don't know
7,8,7,Left-handed,I don't know
7,7,6,Right-handed,Right leg in first
4,8,8,Right-handed,Right leg in first
2,4,6,Right-handed,Left leg in first
8,15,8.5,Right-handed,Left leg in first
7,7,8,Right-handed,Left leg in first
5,6,7,Right-handed,Right leg in first
8,20,7.5,Right-handed,Right leg in first
4,2,6,Right-handed,Right leg in first
7,8,7,Right-handed,Right leg in first
4,4,6.5,Right-handed,Left leg in first
8,10,7,Right-handed,Left leg in first
9,10,8,Right-handed,Left leg in first
3,20,7.5,Right-handed,Left leg in first
4,10,7,Right-handed,Right leg in first
5,10,8,Right-handed,I don't know
3,3,7,Right-handed,Right leg in first
3,1,5,Right-handed,Right leg in first
7,5,7,Right-handed,I don't know
7,3,6,Right-handed,Left leg in first
6,10,6,Right-handed,I don't know
3,3,6,Right-handed,Right leg in first
7,9,7,Right-handed,Left leg in first
3,5,7,Right-handed,I don't know
5,3,5,Right-handed,Left leg in first
3,4,6,Right-handed,I don't know
8,6,4,Right-handed,Right leg in first
6,5,5,Right-handed,Right leg in first
2,3,7,Right-handed,Left leg in first
3,5,7,Left-handed,Right leg in first
7,6,6,Right-handed,Left leg in first
7,9,6,Right-handed,I don't know
7,3,8,Right-handed,Right leg in first
7,6,8,Left-handed,Right leg in first
5,3,7,Right-handed,Right leg in first
8,5,5,Right-handed,Right leg in first
8,45,8,Right-handed,Right leg in first
8,6,6,Right-handed,I don't know
10,10,8,Right-handed,Right leg in first
7,8,7,Right-handed,I don't know
4,10,6,Right-handed,Right leg in first
7,10,7,Right-handed,Right leg in first
7,3,7,Ambidextrous,Right leg in first
3,5,7,Right-handed,I don't know
3,10,7,Right-handed,Right leg in first
4,4,7,Left-handed,Left leg in first
6,5,7,Right-handed,Left leg in first
7,10,7,Right-handed,Right leg in first
5,7,8,Right-handed,Right leg in first
7,8,8,Right-handed,Right leg in first
8,20,7,Left-handed,Right leg in first
7,7,8,Right-handed,Right leg in first
10,15,7,Left-handed,I don't know
4,10,6,Left-handed,Right leg in first
1,2,7,Right-handed,Left leg in first
5,5,7,Right-handed,Right leg in first
8,6,7,Right-handed,Left leg in first
8,6,5,Right-handed,Right leg in first
3,4,6,Left-handed,I don't know
8,6,8,Right-handed,Right leg in first
6,6,7,Right-handed,Right leg in first
6,15,7,Right-handed,Left leg in first
3,10,6,Right-handed,I don't know
8,7,7,Right-handed,Left leg in first
7,15,6,Right-handed,Right leg in first
4,15,6,Right-handed,Left leg in first
8,50,7,Right-handed,Right leg in first
3,10,8,Right-handed,Right leg in first
4,9,6,Right-handed,I don't know
5,6,7,Right-handed,I don't know
7,3,6,Left-handed,Right leg in first
8,4,7,Right-handed,Right leg in first
2,2,6,Right-handed,Right leg in first
5,10,6,Left-handed,I don't know
7,2,7,Left-handed,Right leg in first
3,5,5,Right-handed,Right leg in first
6,7,6,Right-handed,I don't know
7,10,8,Right-handed,Right leg in first
7,3,7,Right-handed,Left leg in first
5,20,7,Right-handed,Right leg in first
3,3,8,Right-handed,Right leg in first
8,5,7,Right-handed,Right leg in first
8,15,8,Right-handed,Right leg in first
7,5,7,Right-handed,Left leg in first
3,5,8,Right-handed,Right leg in first
5,3,5,Right-handed,Right leg in first
8,10,7,Right-handed,Left leg in first
6,5,7,Right-handed,Left leg in first
8,10,7,Right-handed,Right leg in first
3,20,10,Right-handed,Right leg in first
7,5,7,Left-handed,Left leg in first
4,8,6,Right-handed,Left leg in first
5,15,6,Right-handed,Left leg in first
7,10,7,Right-handed,Right leg in first
4,6,6,Right-handed,Right leg in first
5,4,6,Left-handed,Right leg in first
5,5,6,Right-handed,Right leg in first
4,5,7,Right-handed,I don't know
7,3,7,Right-handed,Right leg in first
6,6,6,Right-handed,Right leg in first
5,5,6,Right-handed,Right leg in first
4,5,7,Right-handed,I don't know
9,5,7,Left-handed,Right leg in first
5,6,7,Right-handed,Right leg in first
10,5,8,Right-handed,Right leg in first
3,20,6,Right-handed,Right leg in first
2,4,9,Right-handed,Right leg in first
8,16,8,Right-handed,Left leg in first
6,10,7,Right-handed,Right leg in first
4,10,6.5,Right-handed,Right leg in first
6,3,6,Right-handed,Right leg in first
6,5,7.5,Right-handed,Right leg in first
8,5,7,Right-handed,Right leg in first
4,4,7,Right-handed,I don't know
7,12,7,Right-handed,Left leg in first
4,5,6,Right-handed,Right leg in first
3,3,7,Right-handed,Left leg in first
5,6,6,Right-handed,Right leg in first
6,4,6,Right-handed,Right leg in first
6,4,7,Right-handed,I don't know
4,2,9,Right-handed,Left leg in first
5,9,8,Right-handed,Left leg in first
7,5,8,Right-handed,Right leg in first
7,4,7,Right-handed,Left leg in first
9,50,7,Right-handed,Right leg in first
